user_id,display_name,heading,location,description,describe_seeking,looking_for,seeking,age,height,body_type,ethnicity,hair_color,eye_color,piercings,tattoos,smoker,drinks,education,relationship_status,images,additional_images,private_images
1,admin,Not here to play games.,"Adelaide SA, Australia",Established and in need of some company for the latest chapter of my life,a person with a degree of interlect that is open to being a one person babe for hopefully a long term and meaningful relationship.,Negotiable,,,1.71 m - 1.75 m,Average,,,,,,No,,,Divorced,"https://adultarrangements.com/wp-content/uploads/2024/05/15-pic-2.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-978d75f59202eefdbd7719e5e2e834ee/2024/05/15-pic-3.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-978d75f59202eefdbd7719e5e2e834ee/2024/05/15-pic-1.jpeg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-978d75f59202eefdbd7719e5e2e834ee/2024/05/15-pic-3.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-978d75f59202eefdbd7719e5e2e834ee/2024/05/15-pic-1.jpeg",
622,developer,,,,,,,,,,,,,,,,,,,,,
625,boobi,Im the sugar babe you have been looking for,"Sydney NSW, Australia","Im an independent woman, who knows what shew wants in life.",a genuine guy that knows how this works.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Investor, Dinner dates",,1.66 m - 1.70 m,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/face_ad1401841bf83439ce1fdd102e0f1cc8_df8ad39ffbe9178ad81797e228a61103.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_dea8ee12111927d4fb3a638f16bf4306_816304ee0dd5e1d494da4dca883e24cb.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_dea8ee12111927d4fb3a638f16bf4306_06a0906a9748100a9bfe4b4e13d91f40.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_dea8ee12111927d4fb3a638f16bf4306_816304ee0dd5e1d494da4dca883e24cb.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_dea8ee12111927d4fb3a638f16bf4306_06a0906a9748100a9bfe4b4e13d91f40.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_ad1401841bf83439ce1fdd102e0f1cc8_1357d36a52dc4b1f1880795168c83ba6.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_ad1401841bf83439ce1fdd102e0f1cc8_745d17738bd9309601e996aff5ef2e18.jpg"
626,Shirly22,Bombshell,"Sydney NSW, Australia","Hot Blonde babe, Says it all rearly.",Someone to show me the finer things in life.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Investor, Discretion, Dinner dates",,1.61 m - 1.65 m,,,,,,,Yes,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/face_b8ba503d08947ef8ebacb86dcd18ecaa_90d51df93cca2aae500d34a2f9d1a270.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b8ba503d08947ef8ebacb86dcd18ecaa_ca5afd89650c4a443e10fa80ab9789a6.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b8ba503d08947ef8ebacb86dcd18ecaa_ab519ae424751751afdcef0916f71d19.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b8ba503d08947ef8ebacb86dcd18ecaa_ca5afd89650c4a443e10fa80ab9789a6.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b8ba503d08947ef8ebacb86dcd18ecaa_ab519ae424751751afdcef0916f71d19.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b8ba503d08947ef8ebacb86dcd18ecaa_37c8c1b073df713f7bd91186148c9d93.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_854ed5b67b0176049f38d669d016e00d_b9dbdf7524978b3925d2f7f2c8b65d75.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d2a8f8f78659e23da34661f20d3ce5b7_50fb70eb17e73edfa4570f58e3bb6c07.jpg"
627,Seaneboy,Genuine,"Sydney NSW, Australia","Ive been dating like this for a while now. I know how to treat a lady and Im 
Not a game player.","Someone i can spend some time with, have some fun and get to know.
Casual to start with but open to see where things can go.x",Negotiable,,,,Athletic,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/IMG_3643.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_5425.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_2364.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_2379.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_5677-copy.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_5425.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_2364.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_2379.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_5677-copy.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_2497.jpeg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/IMG_2454.jpeg"
628,Angeleyes,A woman,"Sydney NSW, Australia",I've been around doing enough to know what I am looking for. I consider myself smart and able to hold a good conversation. Plus I'm fun ; ),Im open to all things at this point. But that does not mean I suffer fools or time wasters.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Platonic, Investor, Discretion, Romance, Dinner dates",,1.66 m - 1.70 m,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/face_8f2f0e61057b207753331952e6dca554_27e47dc6c544ec9975378e25d33c82b0.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_3a35ff19dfd2b71feb1d55ab294b574a_1c1c77c56412e1fcd384a0a8e6d528fe.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_845bd0bb61f7829c3c0ca318d5bb91b8_7fd354292345e3db02431d397a50f39b.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_799779e39547325b20259d0d1c14166b_50e4b1073d9e2b83d71044efbc8f601b.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_3a35ff19dfd2b71feb1d55ab294b574a_1c1c77c56412e1fcd384a0a8e6d528fe.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_845bd0bb61f7829c3c0ca318d5bb91b8_7fd354292345e3db02431d397a50f39b.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_799779e39547325b20259d0d1c14166b_50e4b1073d9e2b83d71044efbc8f601b.jpg",https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_8e92e95ab29598a1684b20879644bb99_0c6454330d1f66ae5fafc649c392cf81.jpg
629,paula 69,Not your girl next door,"Sydney NSW, Australia","Im mature beyond my years, Im here for a very good time and along time.",At this stage I'm only looking to get to know someone online. That could change if I feel comfortable about the person and they treat me nicley. xx,Arrangement Value,"Designer gifts, Online Relationship Only, Discretion, Romance, Emotional connection",,1.61 m - 1.65 m,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/face_b0a1ef70f14806b75ce2e27a1bf721f5_8bef2b61e6b6ea2ed49b6a8d5c30e479.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b0a1ef70f14806b75ce2e27a1bf721f5_1e1935a5165df4748eb6dd0e0a14bdfa.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_6d1122453bedfdbb6290c959b806c59c_9bd97db45ba438fc29fe03637a9e0c03.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b0a1ef70f14806b75ce2e27a1bf721f5_7a046e67349c00db19a3e1a4b8f8b684.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b0a1ef70f14806b75ce2e27a1bf721f5_1e1935a5165df4748eb6dd0e0a14bdfa.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_6d1122453bedfdbb6290c959b806c59c_9bd97db45ba438fc29fe03637a9e0c03.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b0a1ef70f14806b75ce2e27a1bf721f5_7a046e67349c00db19a3e1a4b8f8b684.jpg",https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_b0a1ef70f14806b75ce2e27a1bf721f5_d0aad56250fd5ee5a5b03284625645de.jpg
630,sandybear23,Im your girl,"Sydney Olympic Park NSW, Australia","Pretty, smart, sexy, intelligent and modest lol","A real Man, a man that knows what he wants and knows what I want and will do all he can to make me happy.
someone genuine, fun and does not take themselves too seriously.",Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Platonic, Investor, Discretion, Dinner dates",,1.61 m - 1.65 m,,,,,,,Yes,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/face_353d7774c16ab8afcc245639039fdeb9_9a1abe460354d6a18e7a1773d2dcb191.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d3e086bf5ec63d1588df77ebd0b89583_03bb952e6d563eccb5b684c93d28835d1.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d3e086bf5ec63d1588df77ebd0b89583_5b50fb56f8fd9a0766a4e7407090cdb81.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d3e086bf5ec63d1588df77ebd0b89583_869b5a2e502e9e8fcb68829987a0b9e01.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d3e086bf5ec63d1588df77ebd0b89583_03bb952e6d563eccb5b684c93d28835d1.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d3e086bf5ec63d1588df77ebd0b89583_5b50fb56f8fd9a0766a4e7407090cdb81.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d3e086bf5ec63d1588df77ebd0b89583_869b5a2e502e9e8fcb68829987a0b9e01.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_353d7774c16ab8afcc245639039fdeb9_f818b042b20002e8fb9b2a68b972fc041.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/face_d3e086bf5ec63d1588df77ebd0b89583_cc4a87fa348c53a83e2b9a7eae2d9de31.jpg"
631,janee008,These lips were made for kissing,"Perth WA, Australia","Self assured, love being in nature especially the beach. I can hold a conversation in 4 languages if need be. So I guess I have the whole beauty and brains going on. Im looking to start my own business and would value some entrepreneurial advice. Lets exchange ideas.","Help in all aspects, financial, in buisness and if the connection should be there emotionally.",Arrangement Value,"Travel, Investor",,,,,,,,,No,,,Complicated,"https://adultarrangements.com/wp-content/uploads/2022/07/7388d7ad-a9eb-45be-afc1-14d416add3e3.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/54d31c5d-0efd-4e5f-a885-8c008a26afd2.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/c4c55b3c-daf5-4dac-850e-31c65a6d3630.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/54d31c5d-0efd-4e5f-a885-8c008a26afd2.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/c4c55b3c-daf5-4dac-850e-31c65a6d3630.jpg",https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/d17ff355-43eb-431d-a4db-c2d13087b84e.jpg
632,raceytracy,milf and Gilf,"Brisbane QLD, Australia","Sexy, Horney and definitely here for a good time. Single mum so my spare time is precise to me as my child takes priority. So when I get a chance to socialise I don't want to waste it. Although I'm sexy and yes Horney I am also decreeing. So no time wasters please.",Just some fun that I can also benefit from to make my life easier. A genuine guy that is not needy and knows how to treat a lady and have fun.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Investor, Discretion, Dinner dates",,,,,,,,,Yes,,,Divorced,https://adultarrangements.com/wp-content/uploads/2022/07/abca178c-77a6-4cac-9252-f276fec23b29.jpg,,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/d94bee01-3ecf-4309-aa12-f37de2c04bc6.jpg
